"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","27.30","27.38","27.62","27.18","","1.04%"
"12/29/2022","27.02","27.40","27.42","27.02","","-1.75%"
"12/28/2022","27.50","27.43","27.66","27.20","","0.44%"
"12/27/2022","27.38","27.51","27.77","27.34","","0.15%"
"12/23/2022","27.34","27.73","27.92","27.30","","-1.76%"
"12/22/2022","27.83","27.30","28.30","27.30","","2.58%"
"12/21/2022","27.13","27.68","27.77","27.11","","-2.59%"
"12/20/2022","27.85","28.32","28.45","27.82","","-1.87%"
"12/19/2022","28.38","28.55","28.56","28.18","","-0.60%"
"12/16/2022","28.55","28.71","29.08","28.36","","-0.07%"
"12/15/2022","28.57","27.76","28.72","27.73","","3.85%"
"12/14/2022","27.51","27.79","27.98","27.33","","-1.22%"
"12/13/2022","27.85","27.03","28.18","27.03","","-0.75%"
"12/12/2022","28.06","28.07","28.17","27.92","","0.21%"
"12/09/2022","28.00","27.70","28.07","27.45","","1.05%"
"12/08/2022","27.71","27.87","28.05","27.67","","-1.00%"
"12/07/2022","27.99","27.85","28.11","27.73","","1.16%"
"12/06/2022","27.67","27.31","28.93","27.28","","1.24%"
"12/05/2022","27.33","27.61","28.71","27.22","","-0.07%"
"12/02/2022","27.35","27.81","27.82","27.29","","-0.58%"
"12/01/2022","27.51","27.67","27.93","27.44","","-0.65%"
"11/30/2022","27.69","28.50","28.72","27.59","","-3.35%"
"11/29/2022","28.65","28.71","28.82","28.27","","-0.24%"
"11/28/2022","28.72","28.30","28.74","28.19","","2.87%"
"11/25/2022","27.92","27.85","27.95","27.81","","0.72%"
"11/23/2022","27.72","28.06","28.06","27.66","","-0.89%"
"11/22/2022","27.97","28.36","28.43","27.96","","-1.93%"
"11/21/2022","28.52","28.94","28.97","28.49","","-1.25%"
"11/18/2022","28.88","28.87","29.14","28.76","","-0.76%"
"11/17/2022","29.10","29.59","29.59","29.01","","-0.31%"
"11/16/2022","29.19","29.44","29.48","29.11","","-0.78%"
"11/15/2022","29.42","29.08","29.80","28.94","","0.00%"
"11/14/2022","29.42","29.17","29.43","28.92","","1.20%"
"11/11/2022","29.07","29.01","29.12","28.76","","-7.09%"
"11/10/2022","31.29","29.16","31.29","28.74","","3.82%"
"11/09/2022","30.14","29.63","31.96","29.52","","1.82%"
"11/08/2022","29.60","29.05","29.63","28.89","","1.96%"
"11/07/2022","29.03","29.00","29.35","28.92","","-0.45%"
"11/04/2022","29.16","28.98","29.43","28.76","","-0.58%"
"11/03/2022","29.33","29.94","30.01","29.13","","-1.38%"
"11/02/2022","29.74","29.46","36.98","29.04","","1.23%"
"11/01/2022","29.38","29.53","35.42","29.37","","-1.18%"
"10/31/2022","29.73","29.89","29.93","29.62","","0.54%"
"10/28/2022","29.57","30.30","30.30","29.53","","-3.30%"
"10/27/2022","30.58","30.58","30.66","30.22","","-0.33%"
"10/26/2022","30.68","31.02","31.04","30.52","","-1.03%"
"10/25/2022","31.00","31.61","31.66","30.83","","-2.02%"
"10/24/2022","31.64","31.75","32.08","31.62","","-0.22%"
"10/21/2022","31.71","32.00","32.03","31.51","","-0.78%"
"10/20/2022","31.96","32.11","32.16","31.57","","-0.37%"
"10/19/2022","32.08","32.07","32.31","31.82","","0.91%"
"10/18/2022","31.79","31.71","32.24","31.65","","-1.09%"
"10/17/2022","32.14","32.17","32.27","31.81","","-2.04%"
"10/14/2022","32.81","31.96","43.39","31.76","","1.77%"
"10/13/2022","32.24","33.57","44.93","32.06","","-2.42%"
"10/12/2022","33.04","33.24","44.86","32.92","","-0.30%"
"10/11/2022","33.14","33.07","33.43","32.62","","1.01%"
"10/10/2022","32.81","32.63","33.32","32.62","","0.71%"
"10/07/2022","32.58","31.76","32.70","31.72","","3.10%"
"10/06/2022","31.60","31.06","31.62","30.82","","2.30%"
"10/05/2022","30.89","31.00","44.28","30.57","","0.39%"
"10/04/2022","30.77","30.59","31.21","30.33","","-1.94%"
"10/03/2022","31.38","31.74","32.31","31.00","","-2.18%"
"09/30/2022","32.08","32.12","47.61","31.36","","-0.12%"
"09/29/2022","32.12","32.02","32.80","31.98","","1.74%"
"09/28/2022","31.57","32.25","32.43","31.36","","-2.02%"
"09/27/2022","32.22","31.21","46.39","30.98","","1.54%"
"09/26/2022","31.73","31.10","31.89","30.61","","2.92%"
"09/23/2022","30.83","30.10","31.69","30.07","","3.63%"
"09/22/2022","29.75","29.63","30.17","29.50","","-0.83%"
"09/21/2022","30.00","29.50","30.02","28.99","","1.45%"
"09/20/2022","29.57","29.46","29.73","28.97","","1.51%"
"09/19/2022","29.13","29.83","29.83","29.11","","-1.32%"
"09/16/2022","29.52","29.93","30.36","29.47","","0.17%"
"09/15/2022","29.47","29.52","29.93","29.19","","0.20%"
"09/14/2022","29.41","29.67","29.78","29.23","","-0.94%"
"09/13/2022","29.69","29.21","43.48","28.68","","5.73%"
"09/12/2022","28.08","28.14","28.58","27.96","","-0.74%"
"09/09/2022","28.29","28.17","28.62","27.95","","-0.56%"
"09/08/2022","28.45","29.14","29.19","28.43","","-1.04%"
"09/07/2022","28.75","29.50","29.52","28.69","","-2.38%"
"09/06/2022","29.45","28.76","29.87","28.74","","1.03%"
"09/02/2022","29.15","28.66","29.58","28.35","","-0.07%"
"09/01/2022","29.17","29.44","29.87","29.02","","-0.31%"
"08/31/2022","29.26","29.34","29.54","28.90","","-0.17%"
"08/30/2022","29.31","29.25","29.72","28.75","","-0.03%"
"08/29/2022","29.32","29.76","29.76","29.07","","-0.51%"
"08/26/2022","29.47","28.32","29.62","28.26","","4.47%"
"08/25/2022","28.21","28.48","28.58","28.09","","-0.88%"
"08/24/2022","28.46","28.96","29.25","28.43","","-1.35%"
"08/23/2022","28.85","29.18","29.27","28.70","","-0.79%"
"08/22/2022","29.08","28.95","29.20","28.74","","2.54%"
"08/19/2022","28.36","28.13","28.86","28.12","","1.87%"
"08/18/2022","27.84","28.12","41.75","27.73","","-0.36%"
"08/17/2022","27.94","27.89","28.99","27.66","","1.31%"
"08/16/2022","27.58","27.65","27.77","27.46","","-0.22%"
"08/15/2022","27.64","28.18","28.26","27.48","","-0.22%"
"08/12/2022","27.70","27.87","27.98","27.49","","-0.97%"
"08/11/2022","27.97","27.77","28.10","27.58","","0.54%"
"08/10/2022","27.82","28.23","28.50","27.68","","-2.80%"
"08/09/2022","28.62","28.63","28.77","28.49","","0.21%"
"08/08/2022","28.56","28.38","28.70","28.11","","0.39%"
"08/05/2022","28.45","28.78","28.78","28.24","","0.04%"
"08/04/2022","28.44","28.48","28.63","28.37","","-0.18%"
"08/03/2022","28.49","28.82","29.23","28.23","","-2.40%"
"08/02/2022","29.19","29.11","29.43","28.61","","1.50%"
"08/01/2022","28.76","28.68","28.77","28.41","","0.77%"
"07/29/2022","28.54","28.64","28.65","28.26","","-0.87%"
"07/28/2022","28.79","29.25","29.40","28.65","","-2.51%"
"07/27/2022","29.53","29.76","30.08","29.00","","-1.63%"
"07/26/2022","30.02","29.95","30.29","29.69","","0.94%"
"07/25/2022","29.74","29.78","29.92","29.53","","-0.54%"
"07/22/2022","29.90","29.72","30.16","29.61","","0.07%"
"07/21/2022","29.88","30.10","30.32","29.73","","-0.66%"
"07/20/2022","30.08","30.29","30.45","29.95","","-0.82%"
"07/19/2022","30.33","30.52","30.53","29.99","","-1.91%"
"07/18/2022","30.92","30.31","31.03","30.25","","1.28%"
"07/15/2022","30.53","30.66","31.04","30.29","","-1.86%"
"07/14/2022","31.11","31.39","31.66","30.93","","0.68%"
"07/13/2022","30.90","31.08","31.36","30.34","","0.78%"
"07/12/2022","30.66","30.31","31.07","30.13","","1.52%"
"07/11/2022","30.20","29.91","30.86","29.83","","2.23%"
